scenario_id,success_rate_mean,success_rate_stderr,disk_burden_mean,disk_burden_stderr,latency_mean,latency_stderr
1a,96.11111111111111,0.3024061410843434,207.55119,3.4568809324929513,425.7768889786388,8.405072303122445
1b,100.0,0.0,98.01858,3.2290791770272698,348.2462962962963,14.945619188304333
1c,100.0,0.0,511.46936999999997,0.27044563924916215,322.0907407407407,2.5270340635535593
1d,100.0,0.0,514.47039,0.23367692580902913,261.52962962962965,4.233192691426837
1e,98.70370370370371,0.3703703703703712,128.48475000000002,0.3669512375264906,412.72112783770825,2.729752586742791
1f,100.0,0.0,30.76875,0.383992675349703,380.90370370370374,7.311266160104738
1g,96.11111111111111,0.3024061410843434,2190.87151,12.405874159288404,391.2570381752966,9.038265368799818
1h,100.0,0.0,2007.95602,34.30830099941735,331.29814814814813,10.980307642382042
1i,96.01851851851852,0.141437521449254,977.93598,5.034454381996127,448.55415421956684,6.486190922901426
1j,100.0,0.0,758.6521,19.154065190055316,347.462037037037,11.971842874616675
2a,93.98148148148148,0.4197984724918346,127.10685,2.0705011304968886,1096.6656895562596,24.391951574148845
2b,100.0,0.0,61.40855,4.388364618023691,350.06111111111113,41.68897622219217
2c,100.0,0.0,328.25354,1.1042232376149717,943.2231481481481,23.28913327211919
2d,100.0,0.0,350.62924,0.24645428162913732,515.0388888888889,9.552467320847871
2e,100.0,0.0,116.37273,1.0106587109460405,1079.1324074074073,15.054739957484202
2f,100.0,0.0,41.7653,0.5404597896441713,565.2472222222223,7.85754741526727
2g,93.7037037037037,0.6733772910268968,559.76529,4.113488865007956,864.4629038115755,9.010094807340725
2h,100.0,0.0,399.04784,17.020312586346154,357.27222222222224,28.44719717931161
2i,89.25925925925925,0.5555555555555551,465.60733,4.466183106288859,1051.9273272449568,26.42793683611941
2j,100.0,0.0,357.43853,19.761252910706343,608.4074074074074,46.97172166753239
3a,98.88888888888889,0.1234567901234565,226.51229999999998,3.9516017982022875,410.4657379650855,8.816075995399991
3b,100.0,0.0,106.75813,2.4639888244718597,306.34444444444443,10.853614619676357
3c,100.0,0.0,514.85454,0.2484771423424412,313.70185185185187,3.695372265065046
3d,100.0,0.0,515.6894500000001,0.2042306067224554,270.4583333333333,2.2626682984558455
3e,100.0,0.0,135.41163,1.1581722939422938,482.61574074074076,4.341401349768807
3f,100.0,0.0,31.31182,0.41661242788311875,374.2898148148148,3.9569059347278013
3g,98.51851851851852,0.15120307054217114,2377.44933,15.323379004631013,325.9254099806031,6.821602244902545
3h,99.9074074074074,0.09259259259259238,1966.4811,64.71449832938862,243.1657926618207,13.571307975448693
3i,98.61111111111111,0.248835115688228,1005.95225,16.79297206263018,391.9396585804133,6.132061233270909
3j,100.0,0.0,804.49853,16.140098690556385,326.17962962962963,7.033911911659007
